Product Name,Variant Name,Full Name,Price,Compare At Price,SKU,Product Type,Vendor,Product URL,Image URL,Available,Availability Status,Description,Tags
What a Time to be Alive Shirt,L,What a Time to be Alive Shirt - L,$40.00,,810028448872,Merch,Puffco,https://www.puffco.com/products/what-a-time-to-be-alive-t-shirt,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Zombie-Juice_Tee_900x1200_f5b61adf-35e2-4510-b867-b0efa377bb79.png?v=1759359776,False,Out of Stock,"If not now, then when? Speak hash to power. 
Feat. Juice from Flatbush Zombies. 
 
- Unisex - 6.5 oz 100% cotton  - Garment-dyed  - Oversized, size down for true-to-size fit. 
<p style=""color: gray; font-size: smaller;""> Jericho is 5’11” and wearing size Medium. Made in Los Angeles. ",bis-hidden
What a Time to be Alive Shirt,XL,What a Time to be Alive Shirt - XL,$40.00,,810028448889,Merch,Puffco,https://www.puffco.com/products/what-a-time-to-be-alive-t-shirt,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Zombie-Juice_Tee_900x1200_f5b61adf-35e2-4510-b867-b0efa377bb79.png?v=1759359776,False,Out of Stock,"If not now, then when? Speak hash to power. 
Feat. Juice from Flatbush Zombies. 
 
- Unisex - 6.5 oz 100% cotton  - Garment-dyed  - Oversized, size down for true-to-size fit. 
<p style=""color: gray; font-size: smaller;""> Jericho is 5’11” and wearing size Medium. Made in Los Angeles. ",bis-hidden
What a Time to be Alive Shirt,XXL,What a Time to be Alive Shirt - XXL,$40.00,,810028448896,Merch,Puffco,https://www.puffco.com/products/what-a-time-to-be-alive-t-shirt,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Zombie-Juice_Tee_900x1200_f5b61adf-35e2-4510-b867-b0efa377bb79.png?v=1759359776,False,Out of Stock,"If not now, then when? Speak hash to power. 
Feat. Juice from Flatbush Zombies. 
 
- Unisex - 6.5 oz 100% cotton  - Garment-dyed  - Oversized, size down for true-to-size fit. 
<p style=""color: gray; font-size: smaller;""> Jericho is 5’11” and wearing size Medium. Made in Los Angeles. ",bis-hidden
What a Time to be Alive Shirt,XXXL,What a Time to be Alive Shirt - XXXL,$40.00,,810028448902,Merch,Puffco,https://www.puffco.com/products/what-a-time-to-be-alive-t-shirt,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Zombie-Juice_Tee_900x1200_f5b61adf-35e2-4510-b867-b0efa377bb79.png?v=1759359776,False,Out of Stock,"If not now, then when? Speak hash to power. 
Feat. Juice from Flatbush Zombies. 
 
- Unisex - 6.5 oz 100% cotton  - Garment-dyed  - Oversized, size down for true-to-size fit. 
<p style=""color: gray; font-size: smaller;""> Jericho is 5’11” and wearing size Medium. Made in Los Angeles. ",bis-hidden
Puffco Globlin Crewneck,S,Puffco Globlin Crewneck - S,$80.00,,810028449381,Merch,Puffco,https://www.puffco.com/products/puffco-globlin-crewneck,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffcon_2024_Merch_Globlin_Crewneck-Sweater_900x1200_11a50956-150c-45e9-8dc5-9ac5a594975c.png?v=1759359376,False,Out of Stock,"Certified goblin goals.
 
- Long sleeve crewneck sweatshirt  - 1x1 ribbing at cuffs and waistband  - 70/30 ringspun cotton/polyester/fleece blend 10 oz    ",bis-hidden
Puffco Globlin Crewneck,M,Puffco Globlin Crewneck - M,$80.00,,810028449398,Merch,Puffco,https://www.puffco.com/products/puffco-globlin-crewneck,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffcon_2024_Merch_Globlin_Crewneck-Sweater_900x1200_11a50956-150c-45e9-8dc5-9ac5a594975c.png?v=1759359376,False,Out of Stock,"Certified goblin goals.
 
- Long sleeve crewneck sweatshirt  - 1x1 ribbing at cuffs and waistband  - 70/30 ringspun cotton/polyester/fleece blend 10 oz    ",bis-hidden
Puffco Globlin Crewneck,L,Puffco Globlin Crewneck - L,$80.00,,810028449404,Merch,Puffco,https://www.puffco.com/products/puffco-globlin-crewneck,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffcon_2024_Merch_Globlin_Crewneck-Sweater_900x1200_11a50956-150c-45e9-8dc5-9ac5a594975c.png?v=1759359376,False,Out of Stock,"Certified goblin goals.
 
- Long sleeve crewneck sweatshirt  - 1x1 ribbing at cuffs and waistband  - 70/30 ringspun cotton/polyester/fleece blend 10 oz    ",bis-hidden
Puffco Globlin Crewneck,XL,Puffco Globlin Crewneck - XL,$80.00,,810028449411,Merch,Puffco,https://www.puffco.com/products/puffco-globlin-crewneck,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffcon_2024_Merch_Globlin_Crewneck-Sweater_900x1200_11a50956-150c-45e9-8dc5-9ac5a594975c.png?v=1759359376,False,Out of Stock,"Certified goblin goals.
 
- Long sleeve crewneck sweatshirt  - 1x1 ribbing at cuffs and waistband  - 70/30 ringspun cotton/polyester/fleece blend 10 oz    ",bis-hidden
Puffco Globlin Crewneck,XXL,Puffco Globlin Crewneck - XXL,$80.00,,810028449428,Merch,Puffco,https://www.puffco.com/products/puffco-globlin-crewneck,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffcon_2024_Merch_Globlin_Crewneck-Sweater_900x1200_11a50956-150c-45e9-8dc5-9ac5a594975c.png?v=1759359376,False,Out of Stock,"Certified goblin goals.
 
- Long sleeve crewneck sweatshirt  - 1x1 ribbing at cuffs and waistband  - 70/30 ringspun cotton/polyester/fleece blend 10 oz    ",bis-hidden
Puffco Globlin Crewneck,XXXL,Puffco Globlin Crewneck - XXXL,$80.00,,810028449435,Merch,Puffco,https://www.puffco.com/products/puffco-globlin-crewneck,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffcon_2024_Merch_Globlin_Crewneck-Sweater_900x1200_11a50956-150c-45e9-8dc5-9ac5a594975c.png?v=1759359376,False,Out of Stock,"Certified goblin goals.
 
- Long sleeve crewneck sweatshirt  - 1x1 ribbing at cuffs and waistband  - 70/30 ringspun cotton/polyester/fleece blend 10 oz    ",bis-hidden
Hash Solutions Long Sleeve,S,Hash Solutions Long Sleeve - S,$70.00,,850068033300,Merch,Puffco,https://www.puffco.com/products/contemporary-hash-solutions-long-sleeve,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0000_Shirt-Front.png?v=1734386247,False,Out of Stock,"<strong>100% of the sales from this long sleeve are going to these charities to support the LA Wildfire relief effort.</strong>  • <a style=""color: blue; text-decoration: underline;"" href=""https://www.lafoodbank.org/fire"">LA Regional Foodbank</a> • <a style=""color: blue; text-decoration: underline;""",bis-hidden
Hash Solutions Long Sleeve,M,Hash Solutions Long Sleeve - M,$70.00,,850068033317,Merch,Puffco,https://www.puffco.com/products/contemporary-hash-solutions-long-sleeve,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0000_Shirt-Front.png?v=1734386247,False,Out of Stock,"<strong>100% of the sales from this long sleeve are going to these charities to support the LA Wildfire relief effort.</strong>  • <a style=""color: blue; text-decoration: underline;"" href=""https://www.lafoodbank.org/fire"">LA Regional Foodbank</a> • <a style=""color: blue; text-decoration: underline;""",bis-hidden
Hash Solutions Long Sleeve,L,Hash Solutions Long Sleeve - L,$70.00,,850068033324,Merch,Puffco,https://www.puffco.com/products/contemporary-hash-solutions-long-sleeve,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0000_Shirt-Front.png?v=1734386247,False,Out of Stock,"<strong>100% of the sales from this long sleeve are going to these charities to support the LA Wildfire relief effort.</strong>  • <a style=""color: blue; text-decoration: underline;"" href=""https://www.lafoodbank.org/fire"">LA Regional Foodbank</a> • <a style=""color: blue; text-decoration: underline;""",bis-hidden
Hash Solutions Long Sleeve,XL,Hash Solutions Long Sleeve - XL,$70.00,,850068033331,Merch,Puffco,https://www.puffco.com/products/contemporary-hash-solutions-long-sleeve,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0000_Shirt-Front.png?v=1734386247,False,Out of Stock,"<strong>100% of the sales from this long sleeve are going to these charities to support the LA Wildfire relief effort.</strong>  • <a style=""color: blue; text-decoration: underline;"" href=""https://www.lafoodbank.org/fire"">LA Regional Foodbank</a> • <a style=""color: blue; text-decoration: underline;""",bis-hidden
Hash Solutions Long Sleeve,XXL,Hash Solutions Long Sleeve - XXL,$70.00,,850068033348,Merch,Puffco,https://www.puffco.com/products/contemporary-hash-solutions-long-sleeve,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0000_Shirt-Front.png?v=1734386247,False,Out of Stock,"<strong>100% of the sales from this long sleeve are going to these charities to support the LA Wildfire relief effort.</strong>  • <a style=""color: blue; text-decoration: underline;"" href=""https://www.lafoodbank.org/fire"">LA Regional Foodbank</a> • <a style=""color: blue; text-decoration: underline;""",bis-hidden
Hash Solutions Long Sleeve,XXXL,Hash Solutions Long Sleeve - XXXL,$70.00,,850068033355,Merch,Puffco,https://www.puffco.com/products/contemporary-hash-solutions-long-sleeve,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0000_Shirt-Front.png?v=1734386247,False,Out of Stock,"<strong>100% of the sales from this long sleeve are going to these charities to support the LA Wildfire relief effort.</strong>  • <a style=""color: blue; text-decoration: underline;"" href=""https://www.lafoodbank.org/fire"">LA Regional Foodbank</a> • <a style=""color: blue; text-decoration: underline;""",bis-hidden
Puffco Brand Beanie,Default Title,Puffco Brand Beanie,$40.00,,850068033362,Merch,Puffco,https://www.puffco.com/products/puffco-brand-beanie,https://cdn.shopify.com/s/files/1/0319/5549/files/wntrmerch_0004_beanie-first.png?v=1734386270,False,Out of Stock,"<strong>100% of the sales from this beanie are going to these charities to support the LA Wildfire relief effort.</strong>  • <a href=""https://www.lafoodbank.org/fire"" style=""color: blue; text-decoration: underline;"">LA Regional Foodbank</a> • <a href=""https://antirecidivism.org/"" style=""color: blue",bis-hidden
Professional Bucket Hat,Default Title,Professional Bucket Hat,$40.00,,810028449312,Merch,Puffco,https://www.puffco.com/products/professional-bucket-hat,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Professional_Bucket-Hat_900x1200_29484bbf-7b4a-45af-8eef-cc27f4ab2347.png?v=1759359950,False,Out of Stock,"Dress for the job you want.
 
- Heavy duty cotton canvas  - Flat top  - White, flat embroidery    ",bis-hidden
Hash Heads Hat,Stone,Hash Heads Hat - Stone,$35.00,,810028445659,Merch,Puffco,https://www.puffco.com/products/hash-heads-hat,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Hash-Heads_Hat_Stone_900x1200_2a01fecf-5ee4-4942-a611-4d063d9d1496.png?v=1759359835,False,Out of Stock,"This one’s for the hash heads. No cap.  Available in Black &amp; Stone colorways.
 
 
- 100% Ecowash cotton twill
 
- Unstructured sixpanel, lowprofile
 
- Permacurv® visor
 
- Triglide buckle for easier adjustment
","""EARLY25"", ""Final Employee Collection"", ""Merchandise"", ""zip-not-restricted"", ""zip-restricted""], [""Apperal"", bis-hidden"
Hash Heads Hat,Black,Hash Heads Hat - Black,$35.00,,810028445642,Merch,Puffco,https://www.puffco.com/products/hash-heads-hat,https://cdn.shopify.com/s/files/1/0319/5549/products/hats_0005_main-black.png?v=1759359835,False,Out of Stock,"This one’s for the hash heads. No cap.  Available in Black &amp; Stone colorways.
 
 
- 100% Ecowash cotton twill
 
- Unstructured sixpanel, lowprofile
 
- Permacurv® visor
 
- Triglide buckle for easier adjustment
","""EARLY25"", ""Final Employee Collection"", ""Merchandise"", ""zip-not-restricted"", ""zip-restricted""], [""Apperal"", bis-hidden"
Dad Hat,Black,Dad Hat - Black,$35.00,,850002061796,Merch,Puffco,https://www.puffco.com/products/puffco-dad-hat,https://cdn.shopify.com/s/files/1/0319/5549/products/Hats_0003_Layer-Comp-4.png?v=1759359848,False,Out of Stock,"- 100% cotton chino twill - Unstructured, low-profile, six-panel - Buckle closure with grommet","""BFCM22"", ""EARLY25"", ""Final Employee Collection"", ""Merchandise"", ""zip-not-restricted"", ""zip-restricted""], [""Apperal"", bis-hidden"
Dad Hat,Stone,Dad Hat - Stone,$35.00,,850002061802,Merch,Puffco,https://www.puffco.com/products/puffco-dad-hat,https://cdn.shopify.com/s/files/1/0319/5549/products/Stone4.png?v=1759359848,False,Out of Stock,"- 100% cotton chino twill - Unstructured, low-profile, six-panel - Buckle closure with grommet","""BFCM22"", ""EARLY25"", ""Final Employee Collection"", ""Merchandise"", ""zip-not-restricted"", ""zip-restricted""], [""Apperal"", bis-hidden"
Dad Hat,Orange,Dad Hat - Orange,$35.00,,810028440562,Merch,Puffco,https://www.puffco.com/products/puffco-dad-hat,https://cdn.shopify.com/s/files/1/0319/5549/files/Puffco_Merch_Orange_Hat_900x1200_31cb814c-89f5-43a5-8272-fb0f3cbbd961.png?v=1759359848,False,Out of Stock,"- 100% cotton chino twill - Unstructured, low-profile, six-panel - Buckle closure with grommet","""BFCM22"", ""EARLY25"", ""Final Employee Collection"", ""Merchandise"", ""zip-not-restricted"", ""zip-restricted""], [""Apperal"", bis-hidden"
Cupsy/Budsy Bowl & Tether,Single Pack,Cupsy/Budsy Bowl & Tether - Single Pack,$5.00,,810028441071,Accessory,Puffco,https://www.puffco.com/products/the-cupsy-tether-and-bowl,https://cdn.shopify.com/s/files/1/0319/5549/products/budsybowl_0000_Layer-Comp-1_1.png?v=1629494109,False,Out of Stock,"For stealthy smoking. The Cupsy Bowl is a ceramic flower bowl with a silicone tab for safe handling. When you’re done sparking up, the Cupsy Bowl and tab tuck away, sealing your water and herb in the hidden compartment for maximum discretion.","Accessory, BFCM22, bis-hidden, EARLY25, Final Employee Collection, YBlocklist, zip-restricted"
Cupsy/Budsy Bowl & Tether,3-Pack,Cupsy/Budsy Bowl & Tether - 3-Pack,$13.00,,810028443280,Accessory,Puffco,https://www.puffco.com/products/the-cupsy-tether-and-bowl,https://cdn.shopify.com/s/files/1/0319/5549/products/budsybowl_0000_Layer-Comp-1_1.png?v=1629494109,False,Out of Stock,"For stealthy smoking. The Cupsy Bowl is a ceramic flower bowl with a silicone tab for safe handling. When you’re done sparking up, the Cupsy Bowl and tab tuck away, sealing your water and herb in the hidden compartment for maximum discretion.","Accessory, BFCM22, bis-hidden, EARLY25, Final Employee Collection, YBlocklist, zip-restricted"
